commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
f66cbe2a8b6afa54e8a300d06d334c91990064a9,1367520489,,,3,12,2,1,1,0.3533593350214213,True,1.0,243.0,2.0,2.0,False,18.0,161245.0,66.0,1.0,2367.0,1078.0,2694.0,1992.0,1025.0,2268.0,1642.0,516.0,1831.0,0.1190493442504166,0.0374610535468444,0.1327440040576769
2cafe1373f22fbd286faea4a2c7a604307c3f1e9,1378316419,,,55,3,2,1,1,0.8497511372532974,True,2.0,55756.0,6.0,2.0,False,2.0,2519825.0,2.0,3.0,536.0,2595.0,2595.0,515.0,2030.0,2030.0,414.0,1967.0,1967.0,0.0261071967790639,0.1238047307498741,0.1238047307498741
0b36e73112b099090f5dcbbc21d172dcc7c97f30,1390179428,,,161,138,24,10,2,0.827077176798401,True,3.0,157120.0,10.0,3.0,False,22.0,332687.0,153.0,1.0,121.0,300.0,334.0,109.0,290.0,315.0,120.0,295.0,329.0,0.0055532608196796,0.013584836385332,0.0151452567809445
bbb2da4a1b49f37e3b009ea81ffcd0cc03e07ef4,1306366529,2.0,,602,7,6,1,1,0.3745059847601241,False,,,,,True,,,,,,,,,,,,,,,,
362c75f7c10cb6aefdc638142dd3f8e1a74329cc,1396630969,,1.0,3,2,2,2,1,0.9709505944546686,True,1.0,266462.0,3.0,1.0,False,18.0,142617.0,73.0,1.0,1718.0,974.0,2117.0,1069.0,641.0,1345.0,502.0,364.0,536.0,0.8642611683848798,0.627147766323024,0.922680412371134
1080586abcce9ed0e3acb9e193dfcd568b01bc5c,1310139643,,1.0,22,17,3,1,1,0.7401084909013405,True,1.0,15566.0,6.0,,True,4.0,1518534.6666666667,10.0,1.0,29.0,29.0,29.0,29.0,29.0,29.0,24.0,24.0,24.0,0.0827814569536423,0.0827814569536423,0.0827814569536423
5f6ae3598e30ed64697ac24cc09d609830f66eb2,1379512925,,,19,6,3,1,1,0.7947959852907823,True,4.0,175478.0,12.0,2.0,False,21.0,81298.0,66.0,2.0,1878.0,3646.0,3646.0,1806.0,2992.0,2992.0,1249.0,2700.0,2700.0,0.0766353994237018,0.1655937710747348,0.1655937710747348
da2c170aa25bc6e8fd6cd0788fae14ee455ce359,1334926770,,,6,4,4,4,1,0.9854752972273344,True,2.0,634704.0,20.0,8.0,False,27.0,1430439.0,68.0,3.0,781.0,1400.0,1400.0,778.0,1397.0,1397.0,694.0,1242.0,1242.0,0.1045269965408332,0.1869454053241089,0.1869454053241089
459c9a2a8840995436e610459216957bc7ebd914,1387181817,1.0,,944,646,35,9,2,0.6255081312348104,True,6.0,2073276.0,32.0,9.0,False,62.0,283969.28571428574,738.0,2.0,3652.0,4212.0,4212.0,2786.0,3227.0,3227.0,3029.0,3445.0,3445.0,0.1428302064674271,0.1624398981804468,0.1624398981804468
15eeb0e7dc300877a80b34eb4764502df85901ed,1346841651,,,63,63,27,7,1,0.994047010944958,True,1.0,338849.0,31.0,3.0,False,22.0,1981997.1851851847,46.0,2.0,240.0,1714.0,1714.0,212.0,1672.0,1672.0,119.0,1408.0,1408.0,0.0123902942694889,0.1454827052142488,0.1454827052142488
d1e2e2ffbea496696c9e17bbd2b989e40881850f,1321600850,,,0,0,1,1,1,0.0,True,1.0,7782.0,3.0,1.0,False,2.0,521.0,4.0,2.0,306.0,541.0,541.0,305.0,540.0,540.0,241.0,364.0,364.0,0.1972290138549307,0.2974735126324368,0.2974735126324368
88e869fe567b185e2bc7a851d78776cda3b60c03,1351777749,,,52,2,3,1,3,0.5816364385633411,True,2.0,4052.0,4.0,2.0,False,3.0,246097.66666666663,28.0,1.0,1310.0,267.0,1478.0,1178.0,251.0,1331.0,26.0,25.0,28.0,0.9310344827586208,0.896551724137931,1.0
d524e326e462e89b69940424340a63435706afc0,1342613202,,,5,0,1,1,1,0.0,True,2.0,17339.0,5.0,2.0,False,37.0,334.0,102.0,1.0,47.0,632.0,664.0,47.0,610.0,642.0,8.0,78.0,78.0,0.0244565217391304,0.2146739130434782,0.2146739130434782
883b120d2f39c532cdd1a98d962af83be5adc4bd,1307116509,1.0,,20,6,2,2,2,0.9305861291319928,True,2.0,1455248.0,12.0,2.0,False,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0095238095238095,0.019047619047619,0.019047619047619
1712fff1eab0c9ac467618059971276e28d73d05,1307077542,,,341,0,5,2,1,0.7261790593427587,False,,,,,True,,,,,,,,,,,,,,,,
cfb2f5fdd1e358a855dd2dfca82390bf02079528,1318453229,,,0,0,1,1,1,0.0,True,2.0,113940.0,13.0,8.0,False,6.0,643798.0,15.0,2.0,241.0,289.0,482.0,241.0,289.0,482.0,222.0,224.0,403.0,0.1182396606574761,0.1193001060445387,0.2142099681866384
d378c123159fc2731236573fb9b571dff882705e,1338815200,2.0,,25,8,4,1,1,0.8577376309263687,True,6.0,155198.0,17.0,2.0,False,36.0,34303.0,110.0,2.0,129.0,753.0,753.0,129.0,751.0,751.0,124.0,671.0,671.0,0.0157947940358857,0.0849128127369219,0.0849128127369219
986230eef9720ad720e352baeec7f70f7c848903,1403657488,,,7,6,2,2,1,0.3912435636292556,True,3.0,2311282.0,10.0,5.0,False,31.0,6885716.5,123.0,3.0,2978.0,8800.0,10902.0,1712.0,5546.0,6750.0,2605.0,6496.0,8363.0,0.1184007269422989,0.295184007269423,0.3800090867787369
0e36db9f1179d1bdf0710494e98ff7aee1a2d836,1380267955,,,141,134,21,4,1,0.8248405565152857,True,4.0,259837.0,11.0,2.0,False,56.0,47687.57142857143,519.0,2.0,3288.0,3743.0,3743.0,2679.0,3062.0,3062.0,2497.0,2793.0,2793.0,0.1505726341169379,0.168414707655214,0.168414707655214
deaeb676eb53100c1b44f720791ed52145016b0c,1390571586,,,1,1,1,1,1,0.0,True,1.0,420215.0,14.0,3.0,False,3.0,33444317.0,5.0,1.0,2565.0,258.0,2805.0,1776.0,214.0,1972.0,674.0,27.0,697.0,0.1032583754015603,0.0042833103870276,0.1067768089337616
1f8aa220b50eb83205279441769fa697730b3e6f,1378893450,,,10,0,1,1,1,0.0,True,1.0,95256.0,7.0,3.0,False,5.0,21765585.0,7.0,3.0,2140.0,2749.0,2749.0,1587.0,2004.0,2004.0,577.0,830.0,830.0,0.0982324949014276,0.1412304554724677,0.1412304554724677
47304c2c04e785d86cb0d366efbcc5b78d8acf55,1321897811,,,0,0,1,1,1,0.0,True,3.0,11986.0,10.0,2.0,False,5.0,870545.0,5.0,2.0,7.0,147.0,147.0,7.0,145.0,145.0,7.0,111.0,111.0,0.0030557677616501,0.0427807486631016,0.0427807486631016
f079f789c593996b0023afd6318d60d18ac66578,1331881271,1.0,,21,4,2,2,2,0.9988455359952018,True,1.0,273630.0,5.0,1.0,False,8.0,263212.0,29.0,2.0,514.0,580.0,580.0,514.0,580.0,580.0,510.0,572.0,572.0,0.0738546032663679,0.0828154357566122,0.0828154357566122
997ac954abe8e4f7d9323f13a79989f277de8301,1333135305,1.0,,20,9,3,2,2,0.8731514230940003,True,3.0,718688.0,11.0,2.0,False,13.0,10166.0,62.0,2.0,658.0,793.0,793.0,658.0,793.0,793.0,645.0,775.0,775.0,0.0866765061049242,0.1041191466523547,0.1041191466523547
